          client-3775  [000]  3996.670196: function:             kfree <-- rcu_free_va
          client-3775  [000]  3996.670197: function:             _raw_spin_lock_irqsave <-- debug_check_no_obj_freed
          client-3775  [000]  3996.670197: function:             _raw_spin_unlock_irqrestore <-- debug_check_no_obj_freed
          client-3775  [000]  3996.670197: function:             __slab_free <-- kfree
          client-3775  [000]  3996.670198: function:             check_slab <-- __slab_free
          client-3775  [000]  3996.670198: function:             slab_pad_check <-- check_slab
          client-3775  [000]  3996.670198: function:             page_address <-- slab_pad_check
          client-3775  [000]  3996.670199: function:             page_address <-- __slab_free
          client-3775  [000]  3996.670199: function:             on_freelist <-- __slab_free
          client-3775  [000]  3996.670199: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670199: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670200: function:             check_object <-- __slab_free
          client-3775  [000]  3996.670200: function:             check_bytes_and_report <-- check_object
          client-3775  [000]  3996.670200: function:             check_bytes_and_report <-- check_object
          client-3775  [000]  3996.670200: function:             page_address <-- check_object
          client-3775  [000]  3996.670201: function:             set_track <-- __slab_free
          client-3775  [000]  3996.670201: function:             trace <-- __slab_free
          client-3775  [000]  3996.670201: function:             init_object <-- __slab_free
          client-3775  [000]  3996.670201: function:             memset <-- init_object
          client-3775  [000]  3996.670202: function:             memset <-- init_object
          client-3775  [000]  3996.670202: function:             rcu_free_va <-- __rcu_process_callbacks
          client-3775  [000]  3996.670202: function:             kfree <-- rcu_free_va
          client-3775  [000]  3996.670203: function:             _raw_spin_lock_irqsave <-- debug_check_no_obj_freed
          client-3775  [000]  3996.670203: function:             _raw_spin_unlock_irqrestore <-- debug_check_no_obj_freed
          client-3775  [000]  3996.670204: function:             __slab_free <-- kfree
          client-3775  [000]  3996.670204: function:             check_slab <-- __slab_free
          client-3775  [000]  3996.670204: function:             slab_pad_check <-- check_slab
          client-3775  [000]  3996.670204: function:             page_address <-- slab_pad_check
          client-3775  [000]  3996.670205: function:             page_address <-- __slab_free
          client-3775  [000]  3996.670205: function:             on_freelist <-- __slab_free
          client-3775  [000]  3996.670205: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670205: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670206: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670206: function:             check_object <-- __slab_free
          client-3775  [000]  3996.670206: function:             check_bytes_and_report <-- check_object
          client-3775  [000]  3996.670206: function:             check_bytes_and_report <-- check_object
          client-3775  [000]  3996.670207: function:             page_address <-- check_object
          client-3775  [000]  3996.670207: function:             set_track <-- __slab_free
          client-3775  [000]  3996.670207: function:             trace <-- __slab_free
          client-3775  [000]  3996.670207: function:             init_object <-- __slab_free
          client-3775  [000]  3996.670208: function:             memset <-- init_object
          client-3775  [000]  3996.670208: function:             memset <-- init_object
          client-3775  [000]  3996.670208: function:             rcu_free_va <-- __rcu_process_callbacks
          client-3775  [000]  3996.670209: function:             kfree <-- rcu_free_va
          client-3775  [000]  3996.670209: function:             _raw_spin_lock_irqsave <-- debug_check_no_obj_freed
          client-3775  [000]  3996.670209: function:             _raw_spin_unlock_irqrestore <-- debug_check_no_obj_freed
          client-3775  [000]  3996.670210: function:             __slab_free <-- kfree
          client-3775  [000]  3996.670210: function:             check_slab <-- __slab_free
          client-3775  [000]  3996.670210: function:             slab_pad_check <-- check_slab
          client-3775  [000]  3996.670210: function:             page_address <-- slab_pad_check
          client-3775  [000]  3996.670211: function:             page_address <-- __slab_free
          client-3775  [000]  3996.670211: function:             on_freelist <-- __slab_free
          client-3775  [000]  3996.670211: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670211: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670212: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670212: function:             page_address <-- on_freelist
          client-3775  [000]  3996.670212: function:             check_object <-- __slab_free
          client-3775  [000]  3996.670212: function:             check_bytes_and_report <-- check_object
          client-3775  [000]  3996.670213: function:             check_bytes_and_report <-- check_object
          client-3775  [000]  3996.670213: function:             page_address <-- check_object
